	mean_fit_time	mean_score_time	mean_test_score	param_C	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	std_fit_time	std_score_time	std_test_score
0	0.8823460578918457	0.010361576080322265	0.6283132249499231	0.03125	{'C': 0.03125}	5	0.6602982292637465	0.6000931098696461	0.6287843502561714	0.6188257222739981	0.6335895644071745	0.05478296858898427	0.0018941572754100449	0.019685561105929242
1	1.9889325618743896	0.00920867919921875	0.6294778031397028	0.125	{'C': 0.125}	1	0.6614631873252563	0.6038175046554934	0.628551467163484	0.6176607642124884	0.6359189378057303	0.10018730415798079	0.0018818460277262021	0.019305544824840745
2	6.8983532905578615	0.009145784378051757	0.6293380537569292	0.5	{'C': 0.5}	3	0.6612301957129544	0.6033519553072626	0.6283185840707964	0.6190587138863001	0.6347542511064523	0.7563248352242246	0.0031550283447329738	0.019123104363439135
3	18.1864052772522	0.01016387939453125	0.629011971863791	2.0	{'C': 2.0}	4	0.6607642124883504	0.603584729981378	0.6269212855146716	0.6185927306616962	0.6352201257861635	0.09074102408544207	0.0031994257619577153	0.019006559626864396
4	19.304221153259277	0.007482051849365234	0.6294312200121116	8.0	{'C': 8.0}	2	0.6633271202236719	0.6089385474860335	0.6243595714951095	0.6162628145386766	0.6342883764267412	0.3354855740735554	0.0004248303317100207	0.018928426703926235
5	20.3036057472229	0.007721996307373047	0.5847114175245726	32.0	{'C': 32.0}	6	0.608807082945014	0.5684357541899442	0.5833721471821146	0.5943616029822927	0.568600046587468	0.16033426818964108	0.0005390319936793677	0.015491359528709303
6	19.756548118591308	0.007958364486694337	0.5368705454884241	128.0	{'C': 128.0}	7	0.5717614165890028	0.5512104283054003	0.5132743362831859	0.5188723205964585	0.5292336361518751	0.23527211238559595	0.0008952815984466742	0.021733563940532087
7	19.730253219604492	0.007572269439697266	0.5156752224344342	512.0	{'C': 512.0}	9	0.5505591798695247	0.49278398510242083	0.5165346995808104	0.5135135135135135	0.5050081528068949	0.11258656540737187	0.00014489084472109172	0.019287331571793576
8	19.76581621170044	0.007790756225585937	0.5292309125634695	2048.0	{'C': 2048.0}	8	0.5591798695246971	0.5300279329608939	0.5167675826734979	0.527260018639329	0.5129280223619846	0.17512785856117	0.00028223746892092695	0.0162621160753995
9	19.895159435272216	0.008020257949829102	0.5120417384823217	8192.0	{'C': 8192.0}	10	0.5386766076421249	0.508147113594041	0.5305076851420587	0.46761416589002797	0.5152573957605404	0.14944555874910703	0.0007607114954287612	0.024693748709311795
10	18.467281436920167	0.007052993774414063	0.5010947034983929	32768.0	{'C': 32768.0}	11	0.5342497670083877	0.4781191806331471	0.5291103865859339	0.5309878844361603	0.4330305147915211	1.485076056822851	0.0013384142710114368	0.039843933901733616
