	mean_fit_time	mean_score_time	mean_test_score	param_C	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	std_fit_time	std_score_time	std_test_score
0	0.5853293895721435	0.007361221313476563	0.6346485303023245	0.03125	{'C': 0.03125}	5	0.6637931034482759	0.6135940409683427	0.6357708430367955	0.624883504193849	0.6352201257861635	0.04390741857023676	0.0005123122405909795	0.016670934177550282
1	1.240307331085205	0.009579277038574219	0.6360926072576513	0.125	{'C': 0.125}	4	0.6661230195712954	0.6145251396648045	0.6364694923148579	0.6260484622553588	0.6373165618448637	0.03859518418142097	0.005796122026036853	0.017143283710596213
2	3.524290609359741	0.007156944274902344	0.6370708529370662	0.5	{'C': 0.5}	1	0.6668219944082013	0.6166201117318436	0.6376339077782953	0.6258154706430569	0.6384812485441417	0.3325028262831877	0.0013940343951409034	0.01692498927754996
3	13.45702509880066	0.007024145126342774	0.6366981879163367	2.0	{'C': 2.0}	2	0.6658900279589934	0.6163873370577281	0.6369352585002329	0.6255824790307549	0.6387141858839972	1.5215474658930592	0.0017643004275632503	0.01668715018404288
4	16.503612518310547	0.0051727771759033205	0.6363721060231984	8.0	{'C': 8.0}	3	0.6642590866728798	0.6161545623836127	0.636003726129483	0.6267474370922647	0.6387141858839972	0.45454606174451906	0.0004500970582607342	0.016029044250674182
5	16.920526218414306	0.006531429290771484	0.6115898821446872	32.0	{'C': 32.0}	6	0.6267474370922647	0.6000931098696461	0.6143455985095482	0.6050792171481827	0.6116934544607501	0.3048872070450713	0.0011686476929364243	0.009076486838875363
6	16.887609672546386	0.005971670150756836	0.5522429775935156	128.0	{'C': 128.0}	7	0.5910997204100652	0.5642458100558659	0.5514671634839311	0.5498602050326188	0.5045422781271838	0.11695517777520179	0.0008943344614203113	0.028053277274125706
7	20.958321619033814	0.010386276245117187	0.5082219220198444	512.0	{'C': 512.0}	11	0.48182665424044735	0.5153631284916201	0.5048905449464369	0.5226001863932899	0.5164220824598184	3.2443743831495104	0.005575898522547234	0.01437020357416962
8	27.081577444076537	0.007498741149902344	0.5112498253132716	2048.0	{'C': 2048.0}	9	0.5365796831314072	0.5109404096834265	0.5116441546343735	0.52143522833178	0.47565804798509204	1.1530226589703945	0.0020821496951312266	0.02005995510760535
9	23.72949061393738	0.007489824295043945	0.5099454977407183	8192.0	{'C': 8192.0}	10	0.4862534948741845	0.49837057728119183	0.5293432696786213	0.5470643056849953	0.48870253901700444	1.1675329040627285	0.0013926096399932441	0.024083570763920505
10	20.864459323883057	0.00628366470336914	0.5132528997996926	32768.0	{'C': 32768.0}	8	0.5372786579683131	0.49394785847299816	0.5253842571029343	0.5100186393289842	0.4996505939902166	1.75092595340016	0.001653274626886739	0.01607863210881265
