	mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_f1_macro	param_C	param_gamma	params	rank_test_accuracy	rank_test_f1_macro	split0_test_accuracy	split0_test_f1_macro	split1_test_accuracy	split1_test_f1_macro	split2_test_accuracy	split2_test_f1_macro	split3_test_accuracy	split3_test_f1_macro	split4_test_accuracy	split4_test_f1_macro	std_fit_time	std_score_time	std_test_accuracy	std_test_f1_macro
83	243.57373089790343	53.77818884849548	0.7245539665533144	0.7117357696446736	2048.0	0.001953125	{'gamma': 0.001953125, 'C': 2048.0}	16	18	0.7192451071761417	0.6946851047520074	0.7132216014897579	0.7023982463026623	0.7074988355845365	0.6936424980125757	0.7322926374650512	0.7230881125640575	0.750524109014675	0.7448742990122103	9.577149912688775	2.9666393772660027	0.015374304348952629	0.019657966455081326
84	271.76324467659	50.854488945007326	0.7503144361112405	0.7369680312418735	2048.0	0.0078125	{'gamma': 0.0078125, 'C': 2048.0}	3	3	0.7527958993476235	0.7289388683695468	0.7427839851024208	0.7296421488316881	0.7335817419655333	0.7190772430124562	0.7527958993476235	0.7440159348460331	0.7696249708828325	0.7631750194250194	5.346987411018777	2.0288670071405006	0.01201613523447324	0.015327566755444388
85	246.92497191429138	52.53046274185181	0.7058741323892486	0.6882720541611882	2048.0	0.03125	{'gamma': 0.03125, 'C': 2048.0}	52	51	0.7124883504193849	0.6835097325823153	0.707169459962756	0.6908718465741274	0.6793199813693526	0.663794436501306	0.7134203168685928	0.6978217869467093	0.7169811320754716	0.705367468353271	3.445017691141032	4.87101891236027	0.013644883739193724	0.014227202391421731
86	181.9628445625305	57.54480142593384	0.667489635254111	0.6470434835172152	2048.0	0.125	{'gamma': 0.125, 'C': 2048.0}	69	69	0.674044734389562	0.6364227994160101	0.6741154562383612	0.6556167483083273	0.6415929203539823	0.6262093786169455	0.6805684995340168	0.6639573831594499	0.6671325413463778	0.653011435950721	6.71442030873099	2.253671501633857	0.013628979297347936	0.013726091717384746
87	285.80819807052615	74.98855576515197	0.6918991941118927	0.6674651835235098	2048.0	0.5	{'gamma': 0.5, 'C': 2048.0}	61	62	0.7003727865796832	0.6612341366166893	0.6985567970204841	0.6759437414427941	0.667675826734979	0.6438330097215772	0.7022367194780987	0.682345057247128	0.6906592126717913	0.6739715671215901	22.142204166473302	2.664896801230524	0.012738519513690838	0.01365992661459168
88	316.75993647575376	94.81178889274597	0.6169469418176736	0.51522449858263	2048.0	2.0	{'gamma': 2.0, 'C': 2048.0}	75	77	0.6442218080149115	0.5352751964971005	0.5917132216014898	0.46712219282890555	0.5805775500698649	0.4643982736380998	0.6372320596458527	0.5678521004266356	0.6310272536687631	0.5415371128072818	4.398675408553076	1.1736034037231855	0.025742214461929685	0.04186131646706866
89	318.48841562271116	101.63037571907043	0.49229049238365863	0.24965382495650715	2048.0	8.0	{'gamma': 8.0, 'C': 2048.0}	84	86	0.5004659832246039	0.24866102538314075	0.48696461824953446	0.24022257729572613	0.49161620866325106	0.24344517621685668	0.5034948741845293	0.26620411314103504	0.4789191707430701	0.24974789356113544	2.0098701124456113	1.5077673995992782	0.008943450241005596	0.00897075139470832
90	196.5710202217102	61.089588451385495	0.7117901895933293	0.6989803850424089	8192.0	3.0517578125e-05	{'gamma': 3.0517578125e-05, 'C': 8192.0}	50	46	0.7131873252562908	0.6908816439090887	0.7036778398510242	0.6923509956705662	0.691429902189101	0.6770371157594806	0.7150512581547064	0.7052651971095623	0.735616119263918	0.7293762943352858	4.559742494045713	1.5435473773019466	0.014564709370986199	0.017631955097087454
91	204.49705600738525	56.7023307800293	0.7125821027623794	0.6996568774160303	8192.0	0.0001220703125	{'gamma': 0.0001220703125, 'C': 8192.0}	47	39	0.7129543336439889	0.6905468372431917	0.7029795158286778	0.6914365361357927	0.6939916162086632	0.6791731880773423	0.7194780987884436	0.7096696078290705	0.7335196832052178	0.7274689439544147	5.190118798306922	1.9680560788122776	0.013593669131108458	0.01699342182151138
92	250.34745211601256	54.243387651443484	0.7160292542041272	0.7027570630244914	8192.0	0.00048828125	{'gamma': 0.00048828125, 'C': 8192.0}	25	23	0.7115563839701771	0.6863920740497504	0.7062383612662942	0.6946239017632921	0.6991150442477876	0.6852349015046473	0.7208760484622554	0.7113199187448962	0.7423713021197298	0.7362224667682447	5.67271784009492	1.3946594265199492	0.014962438000964818	0.019152600101258074
93	297.22678475379945	55.99487390518188	0.7424884706759212	0.7306710634594442	8192.0	0.001953125	{'gamma': 0.001953125, 'C': 8192.0}	6	6	0.7404473438956197	0.7181447859429827	0.7376629422718808	0.7271720304585604	0.7247321844434094	0.7115390228853258	0.7458061509785647	0.7379632355995152	0.7638015373864431	0.7585419249252098	12.75011539321909	5.130319980005871	0.012712217218611701	0.016523100333445347
94	329.1240065574646	43.916443252563475	0.7352215027716961	0.7204383895557306	8192.0	0.0078125	{'gamma': 0.0078125, 'C': 8192.0}	14	13	0.7395153774464119	0.7130819031524348	0.736266294227188	0.7239265187787339	0.7105263157894737	0.6964507761689664	0.73928238583411	0.7265902985969753	0.750524109014675	0.7421453205547207	12.818282922761641	4.0050746043437515	0.013267210855643813	0.015170637862526811
95	263.62290263175964	47.50176553726196	0.6782969208552663	0.6593039464413436	8192.0	0.03125	{'gamma': 0.03125, 'C': 8192.0}	68	68	0.6838303821062441	0.6502825299694638	0.6797020484171322	0.6616852982824578	0.647880763856544	0.6336648007814077	0.6898881640260951	0.6737882733360597	0.6901933379920802	0.6771044105502475	7.606396628341177	3.9471731150743095	0.015707841004378928	0.015943937162508616
96	182.88521413803102	54.33766717910767	0.6630642381329482	0.6428561823731743	8192.0	0.125	{'gamma': 0.125, 'C': 8192.0}	71	71	0.668918918918919	0.630998209285834	0.6703910614525139	0.6521435530292127	0.6420586865393573	0.6266119046670164	0.67381174277726	0.6577780064468327	0.6601444211507105	0.6467472458948663	6.885782341533589	2.4511659653486744	0.011430411596557154	0.012070739750663919
97	287.3122417449951	74.84164271354675	0.6918991941118927	0.6674651835235098	8192.0	0.5	{'gamma': 0.5, 'C': 8192.0}	61	62	0.7003727865796832	0.6612341366166893	0.6985567970204841	0.6759437414427941	0.667675826734979	0.6438330097215772	0.7022367194780987	0.682345057247128	0.6906592126717913	0.6739715671215901	16.469487412640955	0.9529848316779957	0.012738519513690838	0.01365992661459168
