	dataset_0	dataset_1	dataset_2	dataset_3	dataset_4	window_size
0	0.5573159366262814	0.5207169459962756	0.5419189566837448	0.532851817334576	0.5203820172373631	3
1	0.5887698042870456	0.5444599627560521	0.5742897065673032	0.559645852749301	0.5681341719077568	5
2	0.6071761416589003	0.563780260707635	0.5966464834653005	0.5682665424044734	0.5814116002795248	7
3	0.6146318732525629	0.5672718808193669	0.6085235211923614	0.5684995340167754	0.5956207780107151	9
4	0.614165890027959	0.577048417132216	0.6113181183046111	0.5773532152842498	0.5974842767295597	11
5	0.6164958061509785	0.5800744878957169	0.6103865859338612	0.581547064305685	0.6054041462846494	13
6	0.6211556383970177	0.5856610800744879	0.6036329762459245	0.5838769804287046	0.6091311437223387	15
7	0.6202236719478099	0.5819366852886406	0.6075919888216116	0.5876048462255359	0.6126252038201724	17
8	0.6269804287045666	0.5805400372439479	0.603865859338612	0.5899347623485555	0.6065688329839273	19
9	0.6279123951537745	0.5761173184357542	0.6103865859338612	0.5873718546132339	0.6037735849056604	21
10	0.625349487418453	0.5721601489757915	0.6061946902654868	0.5862068965517241	0.6044723969252271	23
