	mean_fit_time	mean_score_time	mean_test_score	param_C	param_gamma	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	std_fit_time	std_score_time	std_test_score
48	376.338774394989	66.33340125083923	0.48083104299622675	8.0	2.0	{'gamma': 2.0, 'C': 8.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.0359597949943649	0.7940453037170253	0.010224517552056825
49	374.9009340286255	65.92968626022339	0.48083104299622675	8.0	8.0	{'gamma': 8.0, 'C': 8.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.6599078583671665	0.3199218664577591	0.010224517552056825
50	307.41102356910704	58.188292264938354	0.5452555084548376	32.0	3.0517578125e-05	{'gamma': 3.0517578125e-05, 'C': 32.0}	55	0.5570829450139795	0.5514432029795159	0.5335351653469959	0.5617427772600186	0.5224784532960633	2.8657171750939625	0.25540463102845284	0.014872970995096223
51	276.27906517982484	54.34469223022461	0.6223040014906601	32.0	0.0001220703125	{'gamma': 0.0001220703125, 'C': 32.0}	41	0.6593662628145387	0.6103351955307262	0.6071262226362366	0.6220876048462255	0.6126252038201724	2.516297690008939	0.5899090254260971	0.0191865408284045
52	246.9099736213684	50.06022930145264	0.6333442027297713	32.0	0.00048828125	{'gamma': 0.00048828125, 'C': 32.0}	28	0.6619291705498602	0.6166201117318436	0.623660922217047	0.6283783783783784	0.6361518751455858	2.621198299668362	0.4125471260054597	0.01563976487699913
53	247.41572265625	48.01220302581787	0.6362323566404249	32.0	0.001953125	{'gamma': 0.001953125, 'C': 32.0}	8	0.6665890027958994	0.6187150837988827	0.6264555193292967	0.6286113699906803	0.6408106219426974	2.7597634916211424	0.10085105394690301	0.016750433494333868
54	299.0851570129395	54.61750869750976	0.6393534261890343	32.0	0.0078125	{'gamma': 0.0078125, 'C': 32.0}	2	0.668452935694315	0.6247672253258846	0.6371681415929203	0.6258154706430569	0.6405776846028418	2.7652237593922715	0.5488454174883381	0.015804320378360485
55	385.9825762748718	61.37550163269043	0.6243070759770811	32.0	0.03125	{'gamma': 0.03125, 'C': 32.0}	33	0.6486486486486487	0.6180167597765364	0.6166744294364229	0.6104380242311277	0.627766130910785	13.635289398255276	0.17126092312334698	0.01337481399810118
56	373.34901876449584	65.72603912353516	0.6353938603437835	32.0	0.125	{'gamma': 0.125, 'C': 32.0}	12	0.6665890027958994	0.6247672253258846	0.6248253376804844	0.6316402609506058	0.6291637549499185	0.6676341305185444	0.38469986329967387	0.015814032623127364
57	377.568784570694	66.60402293205262	0.48083104299622675	32.0	0.5	{'gamma': 0.5, 'C': 32.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.8115074675271874	0.36647760940578356	0.010224517552056825
58	376.0261349201202	66.59196314811706	0.48083104299622675	32.0	2.0	{'gamma': 2.0, 'C': 32.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.5185046931685238	0.16439593349178325	0.010224517552056825
59	375.31783685684206	66.30667972564697	0.48083104299622675	32.0	8.0	{'gamma': 8.0, 'C': 32.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.3248377442836303	0.49590788950514747	0.010224517552056825
60	275.63762068748474	54.76282997131348	0.6223971677458424	128.0	3.0517578125e-05	{'gamma': 3.0517578125e-05, 'C': 128.0}	40	0.6591332712022367	0.6103351955307262	0.6071262226362366	0.6223205964585274	0.6130910784998835	3.357574397680322	0.21905879073064355	0.019050018166286393
