	mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_f1_macro	param_C	param_gamma	params	rank_test_accuracy	rank_test_f1_macro	split0_test_accuracy	split0_test_f1_macro	split1_test_accuracy	split1_test_f1_macro	split2_test_accuracy	split2_test_f1_macro	split3_test_accuracy	split3_test_f1_macro	split4_test_accuracy	split4_test_f1_macro	std_fit_time	std_score_time	std_test_accuracy	std_test_f1_macro
0	324.0428670406342	127.2981637954712	0.48083104299622675	0.21644743049725912	0.03125	3.0517578125e-05	{'gamma': 3.0517578125e-05, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	0.7165563257014376	0.6358114482783589	0.010224517552056825	0.003125349814270341
1	343.90208768844604	130.7801338672638	0.48083104299622675	0.21644743049725912	0.03125	0.0001220703125	{'gamma': 0.0001220703125, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	5.893724184015015	6.294069057299207	0.010224517552056825	0.003125349814270341
2	357.921520614624	125.94530749320984	0.48083104299622675	0.21644743049725912	0.03125	0.00048828125	{'gamma': 0.00048828125, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	4.436427084823817	0.5972475987115252	0.010224517552056825	0.003125349814270341
3	358.86363139152525	125.40431218147278	0.48083104299622675	0.21644743049725912	0.03125	0.001953125	{'gamma': 0.001953125, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	6.0001024792213835	0.6829665215326159	0.010224517552056825	0.003125349814270341
4	359.28531713485717	126.61382851600646	0.48083104299622675	0.21644743049725912	0.03125	0.0078125	{'gamma': 0.0078125, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	3.1240237795365062	1.1073061095780463	0.010224517552056825	0.003125349814270341
5	340.3492208480835	126.47092995643615	0.4810173755065915	0.21690049723244537	0.03125	0.03125	{'gamma': 0.03125, 'C': 0.03125}	83	83	0.49370922646784715	0.22035043934903553	0.4813780260707635	0.21812255680834122	0.48346530041918956	0.2172684458398744	0.48415657036346693	0.2179721590969711	0.462380619613324	0.21078899861951791	3.5864415436818318	0.30290120545717014	0.01024013200912065	0.0032256155630492485
6	331.40068130493165	127.15481686592102	0.5831275911864723	0.40490258702260773	0.03125	0.125	{'gamma': 0.125, 'C': 0.03125}	65	66	0.6095060577819198	0.4128169946392437	0.5856610800744879	0.41474684332381323	0.5661387983232418	0.38690361595746836	0.6004193849021435	0.42795085619153395	0.5539249941765665	0.3820991507123576	1.9842737730872098	1.2419909850214428	0.020699272087749274	0.01751908373995805
7	342.8149509906769	133.33071174621583	0.5011878697535752	0.2631937756674775	0.03125	0.5	{'gamma': 0.5, 'C': 0.03125}	75	75	0.5165424044734389	0.26787655506736335	0.4965083798882682	0.2568848700081074	0.5	0.25788945847352457	0.5202702702702703	0.29919843138301466	0.4726298625669695	0.23413468534092086	3.302882988342004	0.8804705307291611	0.01696178079824736	0.02111943161792025
8	384.4894497871399	142.56412363052368	0.48083104299622675	0.21644743049725912	0.03125	2.0	{'gamma': 2.0, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	2.241438953955023	0.21765960648770485	0.010224517552056825	0.003125349814270341
9	381.6251624584198	144.88310399055482	0.48083104299622675	0.21644743049725912	0.03125	8.0	{'gamma': 8.0, 'C': 0.03125}	84	84	0.49370922646784715	0.22035043934903553	0.48067970204841715	0.21642299428810985	0.48346530041918956	0.2172684458398744	0.483923578751165	0.2174072329512744	0.462380619613324	0.21078899861951791	3.58949009484815	0.7410591861621142	0.010224517552056825	0.003125349814270341
