	mean_fit_time	mean_score_time	mean_test_score	param_min_samples_split	param_n_estimators	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	std_fit_time	std_score_time	std_test_score
0	0.7581503868103028	0.021550703048706054	0.5452089253272465	2	10	{'n_estimators': 10, 'min_samples_split': 2}	63	0.5715284249767009	0.5360800744878957	0.5379599441080578	0.5447343895619757	0.5357558816678314	0.10988527885963938	0.003551608185482788	0.013549970154798733
1	4.689093160629272	0.11226058006286621	0.5946336237014953	2	50	{'n_estimators': 50, 'min_samples_split': 2}	51	0.6241845293569431	0.5835661080074488	0.587564042850489	0.5904007455731594	0.5874679711157699	0.08209604389079778	0.0089426248162582	0.014931674515208451
2	9.407872200012207	0.23799510002136232	0.6079098150649834	2	100	{'n_estimators': 100, 'min_samples_split': 2}	35	0.6351351351351351	0.6024208566108007	0.5947834187238007	0.6074091332712023	0.5998136501281155	0.09959983506115762	0.009054177996229864	0.014207336173804696
3	14.217208957672119	0.3317256927490234	0.611543299017096	2	150	{'n_estimators': 150, 'min_samples_split': 2}	31	0.6402609506057781	0.6033519553072626	0.6054960409874243	0.6078751164958062	0.6007453994875378	0.28522003100116333	0.023307496799262296	0.014547733322791358
4	19.15587673187256	0.4775246143341064	0.6141053710346113	2	200	{'n_estimators': 200, 'min_samples_split': 2}	24	0.6421248835041938	0.6082402234636871	0.6085235211923614	0.6092730661696178	0.6023759608665269	0.07132078415807644	0.011843559899157963	0.014222018599983916
5	23.78818063735962	0.5854833126068115	0.6169935249452648	2	250	{'n_estimators': 250, 'min_samples_split': 2}	17	0.6439888164026095	0.611266294227188	0.6110852352119236	0.6113699906803355	0.6072676450034941	0.16104371546323631	0.005554106957689815	0.013582633653399134
6	28.600539445877075	0.7035793781280517	0.614291703544976	2	300	{'n_estimators': 300, 'min_samples_split': 2}	23	0.6463187325256291	0.6061452513966481	0.6050302748020494	0.6125349487418453	0.6014442115071046	0.22144473870162174	0.01824754712128314	0.016405577643431823
7	33.42927613258362	0.8440968036651612	0.615782363627894	2	350	{'n_estimators': 350, 'min_samples_split': 2}	18	0.6463187325256291	0.6038175046554934	0.6094550535631114	0.6109040074557316	0.608432331702772	0.5038719169120969	0.016631747736940643	0.015448361014685087
8	37.72509264945984	0.9302759647369385	0.617040108072856	2	400	{'n_estimators': 400, 'min_samples_split': 2}	16	0.6458527493010252	0.611731843575419	0.6057289240801118	0.6090400745573159	0.6128581411600279	0.11521931592016826	0.019464874073669706	0.014611775905084256
9	1.0179239749908446	0.025699472427368163	0.5555503796524899	4	10	{'n_estimators': 10, 'min_samples_split': 4}	60	0.581780055917987	0.5549348230912476	0.5456450861667443	0.5521901211556384	0.5432098765432098	0.04038831522633604	0.006396207824869051	0.013782893368231448
10	4.507045841217041	0.1087071418762207	0.6031583360506825	4	50	{'n_estimators': 50, 'min_samples_split': 4}	41	0.6281453867660765	0.5952048417132216	0.6034000931532371	0.5934296365330848	0.5956207780107151	0.046534967426516374	0.005544302421495393	0.012953224829903354
11	9.14516224861145	0.2169970989227295	0.6139190385242466	4	100	{'n_estimators': 100, 'min_samples_split': 4}	25	0.6442218080149115	0.603584729981378	0.6138798323241733	0.6036812674743709	0.6042394595853715	0.2553403648893949	0.019529132646990178	0.01564152073676319
12	13.741535091400147	0.3141185283660889	0.6133600409931523	4	150	{'n_estimators': 150, 'min_samples_split': 4}	26	0.6400279589934762	0.6012569832402235	0.6075919888216116	0.6130009319664492	0.6049382716049383	0.4830895292540295	0.007172484367073396	0.013869695363785217
13	18.100714015960694	0.43550958633422854	0.619043182559277	4	200	{'n_estimators': 200, 'min_samples_split': 4}	10	0.6437558247903076	0.6080074487895717	0.6220307405682347	0.6162628145386766	0.6051712089447938	0.6472191070929577	0.02658715739194387	0.013721844734335064
14	23.528798151016236	0.5635078430175782	0.6202543438766479	4	250	{'n_estimators': 250, 'min_samples_split': 4}	3	0.6481826654240447	0.6073091247672253	0.6150442477876106	0.6174277726001864	0.6133240158397391	0.7417669919496954	0.010213917751171399	0.014356724907627712
15	27.604556560516357	0.665907335281372	0.618530768155774	4	300	{'n_estimators': 300, 'min_samples_split': 4}	13	0.6537744641192917	0.6052141527001862	0.6143455985095482	0.6120689655172413	0.6072676450034941	0.9661674765698139	0.008135769355437835	0.01791791396325793
16	32.610539770126344	0.7985834121704102	0.6191363488144594	4	350	{'n_estimators': 350, 'min_samples_split': 4}	9	0.652143522833178	0.6101024208566108	0.615742897065673	0.6109040074557316	0.6068017703237829	1.2488963048759352	0.014479891165314354	0.01674618569906794
17	37.13952512741089	0.9272130966186524	0.619788512600736	4	400	{'n_estimators': 400, 'min_samples_split': 4}	5	0.6526095060577819	0.611731843575419	0.6183046110852353	0.6106710158434296	0.605637083624505	1.491302443571219	0.008842540397187296	0.016895938981982644
18	0.9809986591339112	0.022375106811523438	0.5511715656589183	8	10	{'n_estimators': 10, 'min_samples_split': 8}	62	0.5717614165890028	0.550512104283054	0.5551932929669307	0.548695246971109	0.5296995108315863	0.0295335312346943	0.002725919906089667	0.013472577808460454
19	4.44457368850708	0.10925278663635254	0.6029254204127266	8	50	{'n_estimators': 50, 'min_samples_split': 8}	43	0.6211556383970177	0.5928770949720671	0.6054960409874243	0.5987884436160298	0.5963195900302819	0.11593855657824045	0.0026733202859043916	0.010006132177690363
20	8.733068561553955	0.22399778366088868	0.6143382866725672	8	100	{'n_estimators': 100, 'min_samples_split': 8}	22	0.6428238583410997	0.6007914338919925	0.6148113646949231	0.6090400745573159	0.6042394595853715	0.24682223358848626	0.004615709316525373	0.015000360630415014
21	13.298245048522949	0.32338871955871584	0.6143848698001584	8	150	{'n_estimators': 150, 'min_samples_split': 8}	21	0.6407269338303822	0.6066108007448789	0.6164415463437355	0.6022833178005592	0.6058700209643606	0.3217594845441256	0.016407647085141083	0.013980536675697063
22	17.917288732528686	0.4311189651489258	0.6187636837937299	8	200	{'n_estimators': 200, 'min_samples_split': 8}	12	0.6446877912395154	0.6075418994413407	0.6190032603632977	0.6113699906803355	0.6112275797810389	0.4336549791503293	0.024834957401207104	0.013485835189993918
23	22.470621967315672	0.5426681041717529	0.6194158475800066	8	250	{'n_estimators': 250, 'min_samples_split': 8}	8	0.6484156570363467	0.6124301675977654	0.6201676758267349	0.6118359739049394	0.6042394595853715	0.4617817660089903	0.043978422243042416	0.015348266112123709
24	26.874886417388915	0.6675141334533692	0.6210928401732893	8	300	{'n_estimators': 300, 'min_samples_split': 8}	2	0.6484156570363467	0.6110335195530726	0.6187703772706101	0.6134669151910531	0.6137898905194503	0.4154972013707576	0.005139118471763754	0.013888142860105476
25	31.366535568237303	0.7817375183105468	0.6224903340010248	8	350	{'n_estimators': 350, 'min_samples_split': 8}	1	0.6505125815470643	0.6128957169459963	0.6180717279925477	0.6167287977632805	0.6142557651991615	0.7705652933775199	0.021025323071596696	0.014125266836279885
