	mean_fit_time	mean_score_time	mean_test_score	param_C	param_gamma	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	std_fit_time	std_score_time	std_test_score
22	269.5338710308075	49.98329100608826	0.48083104299622675	0.5	0.00048828125	{'C': 0.5, 'gamma': 0.00048828125}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	8.718382935239154	1.478383352124468	0.010224517552056825
23	277.64345278739927	47.820177984237674	0.5407835282060838	0.5	0.001953125	{'C': 0.5, 'gamma': 0.001953125}	58	0.5512581547064306	0.5470204841713222	0.5293432696786213	0.5591798695246971	0.517120894479385	0.8581911014562368	0.8766260782465618	0.015347221860302568
24	248.99371581077577	44.78683242797852	0.619043182559277	0.5	0.0078125	{'C': 0.5, 'gamma': 0.0078125}	43	0.6609972041006523	0.6089385474860335	0.5980437820214253	0.6178937558247903	0.6093640810621943	4.29510477480697	1.2496950119110568	0.02189869828605059
25	235.92067084312438	47.12189407348633	0.633018120836633	0.5	0.03125	{'C': 0.5, 'gamma': 0.03125}	30	0.6656570363466915	0.6189478584729982	0.6192361434559851	0.6335041938490215	0.627766130910785	3.8442199464248654	1.8141355991788553	0.017209474514827922
26	299.94587621688845	50.214032363891604	0.5742302138165556	0.5	0.125	{'C': 0.5, 'gamma': 0.125}	54	0.6041472506989748	0.5705307262569832	0.5533302282254309	0.5852749301025163	0.5578849289541113	13.553940075906386	1.7197544639928537	0.018624669702053134
27	284.3336543560028	50.12156896591186	0.48083104299622675	0.5	0.5	{'C': 0.5, 'gamma': 0.5}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	2.6002535588194156	0.43680451699217976	0.010224517552056825
28	284.70594239234924	51.20486249923706	0.48083104299622675	0.5	2.0	{'C': 0.5, 'gamma': 2.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.3428840778659128	0.9119769226495159	0.010224517552056825
29	278.30602993965147	49.562269639968875	0.48083104299622675	0.5	8.0	{'C': 0.5, 'gamma': 8.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	3.5411679367833533	0.6030668822928927	0.010224517552056825
30	248.3346248149872	42.99252200126648	0.48083104299622675	2.0	3.0517578125e-05	{'C': 2.0, 'gamma': 3.0517578125e-05}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	3.0752999618980374	0.28707123566647086	0.010224517552056825
31	243.79240188598632	42.70978856086731	0.48083104299622675	2.0	0.0001220703125	{'C': 2.0, 'gamma': 0.0001220703125}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	2.450060367836257	0.29154679626579705	0.010224517552056825
32	241.71191935539247	43.33128447532654	0.5482834117482648	2.0	0.00048828125	{'C': 2.0, 'gamma': 0.00048828125}	57	0.5587138863000932	0.5549348230912476	0.5337680484396833	0.565004659832246	0.5290006988120196	1.9329587319379375	0.3252588353522701	0.014248157398249429
33	217.1078531742096	40.32889695167542	0.6243070759770811	2.0	0.001953125	{'C': 2.0, 'gamma': 0.001953125}	42	0.6619291705498602	0.6149906890130353	0.6059618071727992	0.625349487418453	0.6133240158397391	2.556329088441133	0.4187327053560255	0.019799528493773783
34	201.78993992805482	38.03348031044006	0.636511855405972	2.0	0.0078125	{'C': 2.0, 'gamma': 0.0078125}	9	0.6651910531220876	0.6175512104283054	0.627619934792734	0.6309412861136999	0.6412764966224086	1.8458554898116943	0.441929792898671	0.016215733498009303
35	226.96001658439636	41.05456204414368	0.6392602599338519	2.0	0.03125	{'C': 2.0, 'gamma': 0.03125}	1	0.6696178937558248	0.62243947858473	0.6336748952026083	0.6281453867660765	0.6424411833216864	0.8858818299392611	0.791809432456125	0.016548193600406998
36	287.917887544632	48.21597428321839	0.6341361158988215	2.0	0.125	{'C': 2.0, 'gamma': 0.125}	21	0.6679869524697111	0.619413407821229	0.624126688402422	0.6318732525629077	0.6273002562310739	0.8860155553386724	0.6989158759893882	0.017403683681793444
37	294.7822602272034	48.868485593795775	0.48083104299622675	2.0	0.5	{'C': 2.0, 'gamma': 0.5}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	2.5074480203277885	0.5617674530088125	0.010224517552056825
38	290.3170524597168	50.01124129295349	0.48083104299622675	2.0	2.0	{'C': 2.0, 'gamma': 2.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1.085694323504001	1.475863473993726	0.010224517552056825
39	2643.7192692756653	56.32493081092834	0.48083104299622675	2.0	8.0	{'C': 2.0, 'gamma': 8.0}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	1179.0978919672532	2.6345129617540883	0.010224517552056825
40	266.97503209114075	48.66821241378784	0.48083104299622675	8.0	3.0517578125e-05	{'C': 8.0, 'gamma': 3.0517578125e-05}	60	0.49370922646784715	0.48067970204841715	0.48346530041918956	0.483923578751165	0.462380619613324	6.661787779193025	2.8209499186930835	0.010224517552056825
41	267.6219365119934	45.12942028045654	0.5499138212139563	8.0	0.0001220703125	{'C': 8.0, 'gamma': 0.0001220703125}	56	0.5608108108108109	0.5558659217877095	0.536096879366558	0.5668685927306617	0.5299324481714419	9.07802794724516	0.7366595112546778	0.014364385057756612
42	226.992506980896	41.82587947845459	0.6253319047840872	8.0	0.00048828125	{'C': 8.0, 'gamma': 0.00048828125}	39	0.6626281453867661	0.6149906890130353	0.6085235211923614	0.6262814538676608	0.6142557651991615	4.162368167916732	0.8064113587944348	0.019512526817297936
43	207.54907245635985	37.74769167900085	0.6349746121954628	8.0	0.001953125	{'C': 8.0, 'gamma': 0.001953125}	16	0.6651910531220876	0.6147579143389199	0.6257568700512343	0.6309412861136999	0.638248311204286	0.8330578790046622	0.5109673687786904	0.01693313394726982
44	218.32885971069337	36.64281177520752	0.6392602599338519	8.0	0.0078125	{'C': 8.0, 'gamma': 0.0078125}	1	0.6693849021435229	0.6208100558659218	0.6278528178854215	0.6318732525629077	0.6464011180992313	6.626954882455889	0.3034014254817058	0.01722497857945302
