	dataset_0	dataset_1	dataset_2	dataset_3	dataset_4	dataset_average	sliding_windows
0	0.5591798695246971	0.5223463687150838	0.5463437354448067	0.5389095992544268	0.5278360121127417	0.5389231170103512	3
1	0.5906337371854613	0.5502793296089385	0.5787144853283651	0.5629077353215284	0.5727929187048684	0.5710656412298324	5
2	0.6127679403541473	0.568901303538175	0.6001397298556125	0.570363466915191	0.5877009084556254	0.5879746698237501	7
3	0.6181267474370923	0.5663407821229051	0.6124825337680484	0.5740913327120224	0.6007453994875378	0.5943573591055212	9
4	0.6220876048462255	0.5791433891992551	0.6131811830461108	0.5820130475302889	0.6009783368273934	0.5994807122898548	11
5	0.6188257222739981	0.5786778398510242	0.6129482999534234	0.5852749301025163	0.6095970184020498	0.6010647621166024	13
6	0.625349487418453	0.5840316573556797	0.607359105728924	0.5883038210624417	0.6135569531795947	0.6037202049490187	15
7	0.6223205964585274	0.5793761638733705	0.6089892873777364	0.5913327120223671	0.6149545772187281	0.6033946673901459	17
8	0.630708294501398	0.5751862197392924	0.6068933395435492	0.5941286113699907	0.6114605171208944	0.6036753964550249	19
9	0.6346691519105312	0.5758845437616388	0.6120167675826735	0.5952935694315005	0.6093640810621943	0.6054456227497077	21
10	0.6295433364398881	0.5721601489757915	0.6089892873777364	0.5931966449207828	0.6063358956440718	0.6020450626716541	23
